Comment Link,text,id,CommentScore,userid,reputation,posttypeid,creationdate,commenttypeid
http://stackoverflow.com/posts/comments/36450975,Got it. that is very helpful thank you so mmch,36450975,0,3398034,26,2,2014-05-17 23:37:41,5
http://stackoverflow.com/posts/comments/36450754,thank you very much BLUEPIXY,36450754,0,3648469,1,1,2014-05-17 23:21:28,5
http://stackoverflow.com/posts/comments/36450699,Anyway thank you for your answer I hadn't known about session scope events before :),36450699,0,3232040,167,1,2014-05-17 23:17:36,5
http://stackoverflow.com/posts/comments/36450597,"Perfect, thank you",36450597,0,3431088,153,1,2014-05-17 23:09:00,5
http://stackoverflow.com/posts/comments/36450576,"WOW, thank you Deadooshka. I didn't realize that.",36450576,0,3193283,3,1,2014-05-17 23:07:27,5
http://stackoverflow.com/posts/comments/36450567,@stoooops I can't thank you more for that link.,36450567,0,1991295,153,2,2014-05-17 23:06:58,5
http://stackoverflow.com/posts/comments/36450504,thank you very much for the help,36450504,0,3648604,1,2,2014-05-17 23:01:35,5
http://stackoverflow.com/posts/comments/36450284,thank you dear pecci but this code ('.popuprel').fadeOut(); not work,36450284,0,1820714,59,2,2014-05-17 22:44:39,5
http://stackoverflow.com/posts/comments/36450117,"Work great !!, thanks for your time.",36450117,0,3648558,4,2,2014-05-17 22:34:24,5
http://stackoverflow.com/posts/comments/36450104,"Well, thanks. Since @YellowAfterlife updated his answer first, I'll accept his, and vote up yours.",36450104,0,1089063,333,2,2014-05-17 22:33:10,5
http://stackoverflow.com/posts/comments/36450078,"Ok thats the tip I need, thank you @VincentSavard.",36450078,0,501187,10831,1,2014-05-17 22:31:21,5
http://stackoverflow.com/posts/comments/36450021,thank you it's work but when my popup text is short it's not work and not closed,36450021,0,1820714,59,2,2014-05-17 22:27:39,5
http://stackoverflow.com/posts/comments/36449969,"it works, thank you very much",36449969,0,3648485,3,2,2014-05-17 22:23:32,5
http://stackoverflow.com/posts/comments/36449736,"Ah, it was so simple thank you. I also found another way to do it, but yours is so much easier.",36449736,0,3435386,15,2,2014-05-17 22:07:13,5
http://stackoverflow.com/posts/comments/36449682,"Please accept an answer, if it solved your problem.",36449682,0,234910,643,1,2014-05-17 22:04:14,5
http://stackoverflow.com/posts/comments/36449653,no problem thank you,36449653,0,3208511,108,2,2014-05-17 22:01:53,5
http://stackoverflow.com/posts/comments/36449532,thanks @Casper can you recommend a good one for a relative beginner?,36449532,0,3114742,138,1,2014-05-17 21:53:19,5
http://stackoverflow.com/posts/comments/36449520,thanks for the direction it is not working in your way but i found the solution,36449520,0,3208511,108,2,2014-05-17 21:52:43,5
http://stackoverflow.com/posts/comments/36449512,ohh thank you very much :),36449512,0,1291203,71,2,2014-05-17 21:51:55,5
http://stackoverflow.com/posts/comments/36449477,@MichaelJosephAubry No problem - don't forget to upvote/accept if this answers your question.,36449477,0,1216976,11575,2,2014-05-17 21:49:50,5
http://stackoverflow.com/posts/comments/36449421,@davidgyoung btw thank you :) -- right ble in foreground as initial trigger,36449421,0,420303,16409,1,2014-05-17 21:46:46,5
http://stackoverflow.com/posts/comments/36449359,I'll give this a go and if it works accept as answer.,36449359,0,1134136,804,2,2014-05-17 21:42:55,5
http://stackoverflow.com/posts/comments/36449168,Yes but it was because i put the quote in the wrong spot. Thank you thank you thank you!,36449168,0,3135102,6,2,2014-05-17 21:31:44,5
http://stackoverflow.com/posts/comments/36449153,oh i love you. This worked great! thank you for your advice.,36449153,0,2856118,58,2,2014-05-17 21:30:56,5
http://stackoverflow.com/posts/comments/36449077,I simply can't understand this site. but thanks for your help!,36449077,0,3648481,1,1,2014-05-17 21:25:36,5
http://stackoverflow.com/posts/comments/36449057,"thank you guyss, soooo much <3",36449057,0,3647265,11,2,2014-05-17 21:24:14,5
http://stackoverflow.com/posts/comments/36448883,I have made the changes as 'Lafexlos' suggested --- it works!  now onto the next step.  thankyou.,36448883,0,3648019,8,1,2014-05-17 21:16:02,5
http://stackoverflow.com/posts/comments/36448769,@SteveQ accept the answer if it worked for you.,36448769,0,3226722,465,2,2014-05-17 21:09:06,5
http://stackoverflow.com/posts/comments/36448735,"I see, that makes sense, thank you for the clear explanation and example.",36448735,0,3626086,8,2,2014-05-17 21:06:26,5
http://stackoverflow.com/posts/comments/36448629,then accept the guys answer :),36448629,0,1583006,994,1,2014-05-17 20:59:50,5
http://stackoverflow.com/posts/comments/36448558,thanks for that - do you know how I can keep if on for a minimum of say 1 second?,36448558,0,1003632,665,2,2014-05-17 20:55:07,5
http://stackoverflow.com/posts/comments/36448427,"+1 thank you, you also helped me a lot.",36448427,0,3648439,25,2,2014-05-17 20:46:17,5
http://stackoverflow.com/posts/comments/36447666,Great news =). Please accept your answer so the question is considered resolved.,36447666,0,761202,19930,2,2014-05-17 20:00:59,5
http://stackoverflow.com/posts/comments/36447592,thanks you very much !!,36447592,0,3646918,18,1,2014-05-17 19:57:21,5
http://stackoverflow.com/posts/comments/36447577,"This is a terrible answer, but if it's ""the"" answer please accept it.",36447577,0,761202,19930,2,2014-05-17 19:56:52,5
http://stackoverflow.com/posts/comments/36447572,thank you this is really helpful,36447572,0,759540,115,2,2014-05-17 19:56:25,5
http://stackoverflow.com/posts/comments/36447543,"This saves the day, thank you!!!",36447543,0,2227834,2491,2,2014-05-17 19:54:54,5
http://stackoverflow.com/posts/comments/36447460,"I look tomorrow, thank you very much",36447460,0,3364851,19,1,2014-05-17 19:48:57,5
http://stackoverflow.com/posts/comments/36447451,"yes Jon,It works fine as expected,thank you so much!",36447451,0,3647415,12,2,2014-05-17 19:48:33,5
http://stackoverflow.com/posts/comments/36447359,"@camickr: thanks, and 1+ to yours!",36447359,0,522444,141876,2,2014-05-17 19:42:57,5
http://stackoverflow.com/posts/comments/36447310,"Ahhh, I see putting a border in front of the grid.. Cool thank you",36447310,0,1781259,3,2,2014-05-17 19:39:50,5
http://stackoverflow.com/posts/comments/36447279,"If this works for you, please mark it as accepted.",36447279,0,1107110,488,2,2014-05-17 19:37:49,5
http://stackoverflow.com/posts/comments/36447258,"Yes it did, thank you.",36447258,0,3647944,3,1,2014-05-17 19:37:14,5
http://stackoverflow.com/posts/comments/36447243,"genius, thank you.",36447243,0,1060489,670,1,2014-05-17 19:36:24,5
http://stackoverflow.com/posts/comments/36447239,@RobertRowntree ok thanks! if you want to add the answer I will accept and close the question.,36447239,0,2683765,445,1,2014-05-17 19:36:10,5
http://stackoverflow.com/posts/comments/36447205,"You're amazing, thank you so much for the help, this is perfect!",36447205,0,1171948,134,2,2014-05-17 19:33:45,5
http://stackoverflow.com/posts/comments/36447103,I have accepted your answer. It simply works. Thank you for help,36447103,0,1620064,933,2,2014-05-17 19:27:25,5
http://stackoverflow.com/posts/comments/36446963,"Wow, this works..thank you :)",36446963,0,3578093,157,2,2014-05-17 19:19:36,5
http://stackoverflow.com/posts/comments/36446947,"That did it, thank you :)!",36446947,0,1337062,25,1,2014-05-17 19:18:33,5
http://stackoverflow.com/posts/comments/36446747,"It is, thank you very much.",36446747,0,3647725,1,1,2014-05-17 19:09:31,5
http://stackoverflow.com/posts/comments/36446728,"So helpful, thank you",36446728,0,298555,1104,2,2014-05-17 19:08:34,5
http://stackoverflow.com/posts/comments/36446600,"Oh, I must be blind... thank you, works like a charm :)",36446600,0,989749,1368,2,2014-05-17 19:00:18,5
http://stackoverflow.com/posts/comments/36446591,"yes, I realized that, after the comments above, and corrected it, it works fine now, thank you :)",36446591,0,3115834,18,2,2014-05-17 18:59:53,5
http://stackoverflow.com/posts/comments/36446522,Tong Shen. I thank you. That definitively fixes it.,36446522,0,3648221,3,2,2014-05-17 18:55:37,5
http://stackoverflow.com/posts/comments/36446411,"thank you, work now!",36446411,0,3447141,1,2,2014-05-17 18:50:42,5
http://stackoverflow.com/posts/comments/36446376,Please upvote and accept t as an answer if it helps you,36446376,0,2246798,409,2,2014-05-17 18:49:05,5
http://stackoverflow.com/posts/comments/36446358,Thank you......,36446358,0,3614760,8,2,2014-05-17 18:48:21,5
http://stackoverflow.com/posts/comments/36446264,I think that the method is determined on run time .....,36446264,0,474569,2116,1,2014-05-17 18:43:48,5
http://stackoverflow.com/posts/comments/36446234,thank you @keyser,36446234,0,3600078,1,1,2014-05-17 18:42:07,5
http://stackoverflow.com/posts/comments/36446230,OK..............,36446230,0,301883,23506,2,2014-05-17 18:41:55,5
http://stackoverflow.com/posts/comments/36446209,please some one tell me how to display floating point number.......,36446209,0,3262639,4,1,2014-05-17 18:41:09,5
http://stackoverflow.com/posts/comments/36446040,that makes sense! thank you for your answer,36446040,0,1879435,51,2,2014-05-17 18:31:54,5
http://stackoverflow.com/posts/comments/36446005,thank you for your help !!!,36446005,0,3172265,3,2,2014-05-17 18:30:20,5
http://stackoverflow.com/posts/comments/36445799,"@JohnnyHK and mohamedrias thank you, I will try to use a loop.",36445799,0,3523048,5,1,2014-05-17 18:17:33,5
http://stackoverflow.com/posts/comments/36445645,Thank you......,36445645,0,3264171,2,2,2014-05-17 18:07:09,5
http://stackoverflow.com/posts/comments/36445604,@NickSotiros Updated answer.  Please upvote and accept if it answers your question.,36445604,0,1216976,11575,2,2014-05-17 18:05:23,5
http://stackoverflow.com/posts/comments/36445271,"you should mark this as answer because it is the correct one, the full version appears to be broken",36445271,0,1066894,473,2,2014-05-17 17:45:47,5
http://stackoverflow.com/posts/comments/36445219,"thanks, what about the AVX/64 byte align ? Why you pick that number ?",36445219,0,2485710,2608,2,2014-05-17 17:42:46,5
http://stackoverflow.com/posts/comments/36445175,"it works for me, thank you.",36445175,0,3330972,175,2,2014-05-17 17:40:22,5
http://stackoverflow.com/posts/comments/36445068,@Lal thanks for your support i solved my own,36445068,0,3154663,91,1,2014-05-17 17:34:38,5
http://stackoverflow.com/posts/comments/36444943,thanks man you did it well ;),36444943,0,3620354,2,2,2014-05-17 17:25:10,5
http://stackoverflow.com/posts/comments/36444913,",i understood now ,thanks for explaining briefly , you are amazing",36444913,0,1361270,10,2,2014-05-17 17:23:21,5
http://stackoverflow.com/posts/comments/36444860,"@user3648078, don't forget to accept the answer by clicking check button if it helped.",36444860,0,567435,9782,2,2014-05-17 17:20:43,5
http://stackoverflow.com/posts/comments/36444741,"I have not.  To be honest, I had not heard of the term before but I will investigate - thank you.",36444741,0,236860,670,1,2014-05-17 17:13:21,5
http://stackoverflow.com/posts/comments/36444633,Amazing. thanks for your help. It run.,36444633,0,2863740,6,2,2014-05-17 17:06:33,5
http://stackoverflow.com/posts/comments/36444550,Can you accept my answer?,36444550,0,774086,4611,2,2014-05-17 17:02:20,5
http://stackoverflow.com/posts/comments/36444365,"great it works fine,thank you so much!",36444365,0,3647415,12,2,2014-05-17 16:53:12,5
http://stackoverflow.com/posts/comments/36444209,"totally correct, thank you!",36444209,0,817142,90,2,2014-05-17 16:43:50,5
http://stackoverflow.com/posts/comments/36444173,"it's useful, thank you very much",36444173,0,3647690,3,2,2014-05-17 16:41:42,5
http://stackoverflow.com/posts/comments/36444051,"Got it, thank you so much !!",36444051,0,3482353,10,2,2014-05-17 16:35:02,5
http://stackoverflow.com/posts/comments/36443920,You're welcome! Don't forget to accept an answer if it helped you.,36443920,0,2622959,1992,2,2014-05-17 16:27:31,5
http://stackoverflow.com/posts/comments/36443634,it worked... I want to thank you for the help and time you offered me !,36443634,0,1351721,47,2,2014-05-17 16:10:31,5
http://stackoverflow.com/posts/comments/36443156,"No problem, you could mark my answer as accepted if it solved your problem ;)",36443156,0,2177821,396,2,2014-05-17 15:45:28,5
http://stackoverflow.com/posts/comments/36443131,"Yes it did. Firstly, I could not accept it (I had to wait 5 mins before I can accept the answer).",36443131,0,1437164,314,1,2014-05-17 15:44:41,5
http://stackoverflow.com/posts/comments/36443095,i have edited 1st post thank you,36443095,0,3460251,40,2,2014-05-17 15:43:06,5
http://stackoverflow.com/posts/comments/36443060,This solution worked for me :)) thank you so much !,36443060,0,3646666,3,2,2014-05-17 15:41:27,5
http://stackoverflow.com/posts/comments/36442992,I don't know why you accepted an answer that doesn't work.,36442992,0,1415724,14638,1,2014-05-17 15:37:33,5
http://stackoverflow.com/posts/comments/36442955,succeed :).....,36442955,0,3215309,1,1,2014-05-17 15:34:54,5
http://stackoverflow.com/posts/comments/36442941,"I'll take a look, thank you",36442941,0,1889762,1601,2,2014-05-17 15:34:13,5
http://stackoverflow.com/posts/comments/36442572,"@JimGarrison thank you for your comment, maybe they have a solution over there !",36442572,0,3646583,10,1,2014-05-17 15:17:58,5
http://stackoverflow.com/posts/comments/36442541,works. Thanx. Should be accepted answer,36442541,0,1998613,66,2,2014-05-17 15:16:09,5
http://stackoverflow.com/posts/comments/36442398,@LuiggiMendoza ok thank you :),36442398,0,2766981,135,1,2014-05-17 15:07:51,5
http://stackoverflow.com/posts/comments/36442390,Okay thank you ! will give it a try :),36442390,0,3647501,9,1,2014-05-17 15:07:32,5
http://stackoverflow.com/posts/comments/36442217,Michael and Marcin thank for your interested. Please I have updated my question.,36442217,0,1162217,434,1,2014-05-17 14:58:27,5
http://stackoverflow.com/posts/comments/36442150,thanks.........,36442150,0,3611483,10,1,2014-05-17 14:54:50,5
http://stackoverflow.com/posts/comments/36442135,WOW thank you so much! You truly went above and beyond!! I really appreciate you doing this!,36442135,0,3632551,8,2,2014-05-17 14:53:59,5
http://stackoverflow.com/posts/comments/36442076,@MohammadZammam - you're welcome. Please accept the answer as it has solved your problem,36442076,0,1362108,11942,2,2014-05-17 14:50:46,5
http://stackoverflow.com/posts/comments/36442034,"ok, thank you again :)",36442034,0,2113612,8,2,2014-05-17 14:47:44,5
http://stackoverflow.com/posts/comments/36442001,"thanks, what is the difference in your version?",36442001,0,478573,2708,2,2014-05-17 14:45:30,5
http://stackoverflow.com/posts/comments/36441927,thank you dear viktor i change to it: $('.description').fadeIn(); but my popup not work,36441927,0,1820714,59,2,2014-05-17 14:42:13,5
http://stackoverflow.com/posts/comments/36441882,ok thank you!! if i could give you a vote up i would do it :D,36441882,0,3647390,5,2,2014-05-17 14:39:42,5
http://stackoverflow.com/posts/comments/36441865,"ok thanks , now i can solve your problem",36441865,0,3581959,169,1,2014-05-17 14:38:45,5
http://stackoverflow.com/posts/comments/36441705,Thank you thank you thank you .... so much.. Its working fine now. Thanks allot.,36441705,0,3509422,47,2,2014-05-17 14:30:03,5
http://stackoverflow.com/posts/comments/36441674,"thank you a lot, its helpful, i will think about how to fix it up. thank you very much",36441674,0,3647237,1,2,2014-05-17 14:28:17,5
http://stackoverflow.com/posts/comments/36441519,Okey thank you .,36441519,0,3100483,34,2,2014-05-17 14:21:02,5
http://stackoverflow.com/posts/comments/36441484,"thank you, but I am getting error: DateTime::__construct() expects parameter 1 to be string",36441484,0,2113612,8,2,2014-05-17 14:19:02,5
http://stackoverflow.com/posts/comments/36441390,cool. can you accept this answer as correct please.,36441390,0,2588953,388,2,2014-05-17 14:14:16,5
http://stackoverflow.com/posts/comments/36441194,"This is helpful, thank you.",36441194,0,2463201,48,2,2014-05-17 14:01:17,5
http://stackoverflow.com/posts/comments/36441085,thank you very much really appreciate mate,36441085,0,726720,176,2,2014-05-17 13:54:37,5
http://stackoverflow.com/posts/comments/36440941,"@Mihai: I'll go over what you gave me, thank you. Hopefully I'll understand.",36440941,0,3001976,126,1,2014-05-17 13:46:42,5
http://stackoverflow.com/posts/comments/36440844,This is very clever thank you very much ... :),36440844,0,1170677,1414,2,2014-05-17 13:41:19,5
http://stackoverflow.com/posts/comments/36440809,"Also, please show your code for Action that is suppose to accept these parameters",36440809,0,3398887,26,2,2014-05-17 13:38:47,5
http://stackoverflow.com/posts/comments/36440800,"@user2987364 Your welcome, an upvote/accept answer is appreciated. good day",36440800,0,1978142,2160,2,2014-05-17 13:38:18,5
http://stackoverflow.com/posts/comments/36440784,I used @date and now it works. Don't really know why but thank you!,36440784,0,2812108,20,2,2014-05-17 13:37:08,5
http://stackoverflow.com/posts/comments/36440767,"I can't thank you enough, you just saved my life with that.",36440767,0,2987364,15,2,2014-05-17 13:36:10,5
http://stackoverflow.com/posts/comments/36440742,Just mark it as an answer if I helped you. :-) Let's help others too.. :-),36440742,0,1635060,1005,1,2014-05-17 13:34:54,5
http://stackoverflow.com/posts/comments/36440669,Okay thank you very much!,36440669,0,152308,192,2,2014-05-17 13:31:06,5
http://stackoverflow.com/posts/comments/36440614,"@Barmar thank you a lot for clearing that out, it was going to give me lots of headaches.",36440614,0,351763,374,1,2014-05-17 13:27:36,5
http://stackoverflow.com/posts/comments/36440472,"okey sir, so please send me updated code for accept numeric + decimal(12,2)+range.",36440472,0,3519150,6,1,2014-05-17 13:18:07,5
http://stackoverflow.com/posts/comments/36440306,"this should be the accepted answer, cross browser and very nice trick !",36440306,0,411915,158,2,2014-05-17 13:07:18,5
http://stackoverflow.com/posts/comments/36440099,I just want to say..thanks you!,36440099,0,3613119,11,2,2014-05-17 12:57:02,5
http://stackoverflow.com/posts/comments/36440049,thanks again for all your help,36440049,0,2998021,12,2,2014-05-17 12:54:48,5
http://stackoverflow.com/posts/comments/36440048,thanks for your answer. I will try tell you what will happen.,36440048,0,717937,20,2,2014-05-17 12:54:41,5
http://stackoverflow.com/posts/comments/36440017,Then feel free to accept this answer by clicking on the check mark.,36440017,0,296974,33208,2,2014-05-17 12:53:12,5
http://stackoverflow.com/posts/comments/36439725,thank you very much!,36439725,0,3203663,52,2,2014-05-17 12:36:36,5
http://stackoverflow.com/posts/comments/36439704,"Oh damn, I knew it was something obvious! thanks you so much!!! Doh!",36439704,0,3632589,3,2,2014-05-17 12:34:38,5
http://stackoverflow.com/posts/comments/36439660,"@RomanC thanks, and do you know why it return false !",36439660,0,2648077,1121,2,2014-05-17 12:32:19,5
http://stackoverflow.com/posts/comments/36439653,"This surely is related, thank you Günter! Let's see if we can find a solution :)",36439653,0,2515341,536,2,2014-05-17 12:32:08,5
http://stackoverflow.com/posts/comments/36439577,"Sorry, works, thank you.",36439577,0,1069874,1037,2,2014-05-17 12:25:56,5
http://stackoverflow.com/posts/comments/36439538,I was just wondering if '\r\n' will cuz any other problems but thanks to you i will use OS Module.,36439538,0,2697954,850,2,2014-05-17 12:23:12,5
http://stackoverflow.com/posts/comments/36439416,"It's Okay, any way thank you for your help.. :)",36439416,0,3534674,24,2,2014-05-17 12:15:43,5
http://stackoverflow.com/posts/comments/36439410,"thank's CL , thank's to you so much ,",36439410,0,3599629,78,2,2014-05-17 12:15:11,5
http://stackoverflow.com/posts/comments/36439313,thanks; Sorry for troubling you with such a question. I am new to SO,36439313,0,3621123,13,1,2014-05-17 12:10:07,5
http://stackoverflow.com/posts/comments/36439156,Yes exactly it was that simple ! thank you guys,36439156,0,3647501,9,1,2014-05-17 12:00:35,5
http://stackoverflow.com/posts/comments/36438724,"shit, thanks for that lead, Squonk!  I'll google those terms.............",36438724,0,294884,6243,1,2014-05-17 11:31:54,5
http://stackoverflow.com/posts/comments/36438676,nice one........,36438676,0,2210865,355,2,2014-05-17 11:29:01,5
http://stackoverflow.com/posts/comments/36438633,"thank you for the useful advice! I just added a chunk of code, would you like to take a look at it?",36438633,0,1088575,40,2,2014-05-17 11:26:30,5
http://stackoverflow.com/posts/comments/36438047,Spasibo ;) thank you ;) danke schön ;),36438047,0,3642434,8,2,2014-05-17 10:51:02,5
http://stackoverflow.com/posts/comments/36437970,"Great, thank you! It works :)",36437970,0,1546928,98,2,2014-05-17 10:45:54,5
http://stackoverflow.com/posts/comments/36437954,thanks that's it :) I accept the answer as soon as it's possible thank you very much (Y)!,36437954,0,2712268,5,2,2014-05-17 10:44:43,5
http://stackoverflow.com/posts/comments/36437675,Thanks.........,36437675,0,3187838,181,2,2014-05-17 10:29:00,5
http://stackoverflow.com/posts/comments/36437612,thank you @php-dev,36437612,0,3588070,76,1,2014-05-17 10:25:48,5
http://stackoverflow.com/posts/comments/36437581,"thank you but system say = ""String was not recognized as a valid DateTime.""",36437581,0,3383584,9,2,2014-05-17 10:24:01,5
http://stackoverflow.com/posts/comments/36437398,thank you......,36437398,0,3588070,76,2,2014-05-17 10:12:28,5
http://stackoverflow.com/posts/comments/36437248,This should be accepted answer. +1,36437248,0,617996,4855,2,2014-05-17 10:02:29,5
http://stackoverflow.com/posts/comments/36437132,yes thank you :) i know the steps thanks any way,36437132,0,3647265,11,1,2014-05-17 09:55:22,5
http://stackoverflow.com/posts/comments/36437083,"@user3645779, thank you a ot.",36437083,0,3528263,4,2,2014-05-17 09:51:53,5
http://stackoverflow.com/posts/comments/36437055,"thank you, but I still have the 500 error",36437055,0,3287027,58,2,2014-05-17 09:49:41,5
http://stackoverflow.com/posts/comments/36436999,Please help me.....,36436999,0,3635611,1,1,2014-05-17 09:45:27,5
http://stackoverflow.com/posts/comments/36436952,"@user3647254 Please mark my answer as the solution, then! We were happy to help.",36436952,0,2468889,81,2,2014-05-17 09:42:59,5
http://stackoverflow.com/posts/comments/36436933,"@user3640859, then mark my answer as accepted.",36436933,0,925196,1270,2,2014-05-17 09:42:19,5
http://stackoverflow.com/posts/comments/36436931,Hey thanks for sharing this working for me. Thank you very much,36436931,0,3647254,3,2,2014-05-17 09:42:11,5
http://stackoverflow.com/posts/comments/36436829,thank you very much :),36436829,0,3503143,18,2,2014-05-17 09:35:45,5
http://stackoverflow.com/posts/comments/36436714,thanks for down-voting!! Instead you could have given an answer to my problem,36436714,0,3622939,1,1,2014-05-17 09:28:22,5
http://stackoverflow.com/posts/comments/36436586,Thanks bro its working.....,36436586,0,3082679,159,2,2014-05-17 09:20:10,5
http://stackoverflow.com/posts/comments/36436522,"happy to help, you can accept the answer as it worked for you",36436522,0,2575725,645,2,2014-05-17 09:15:55,5
http://stackoverflow.com/posts/comments/36436371,"@rory, please accept the answer :)",36436371,0,1691423,942,2,2014-05-17 09:06:24,5
http://stackoverflow.com/posts/comments/36436324,@prefekt Remember to mark one answer as accepted to avoid your question remains unanswered.,36436324,0,3515042,312,2,2014-05-17 09:03:45,5
http://stackoverflow.com/posts/comments/36436272,ty idle ftw.......,36436272,0,3233623,11,2,2014-05-17 08:59:44,5
http://stackoverflow.com/posts/comments/36436221,"ok i solved the problem, thank you for leading me in the right direction",36436221,0,3632841,1,1,2014-05-17 08:56:48,5
http://stackoverflow.com/posts/comments/36436212,Belongs to and got answered at Math.SE (see the only OP accepted answer),36436212,0,77764,3041,1,2014-05-17 08:56:30,5
http://stackoverflow.com/posts/comments/36436182,"Oops. Done, thank you.",36436182,0,2422960,185,1,2014-05-17 08:54:49,5
http://stackoverflow.com/posts/comments/36436162,"accept your own answer then, and close this question.",36436162,0,2007266,701,2,2014-05-17 08:53:33,5
http://stackoverflow.com/posts/comments/36436065,"It does make sense, thank you!",36436065,0,1286942,156,2,2014-05-17 08:47:54,5
http://stackoverflow.com/posts/comments/36436036,Well running a Precompiled application seems to be sufficient thank you.,36436036,0,2377339,3,2,2014-05-17 08:46:01,5
http://stackoverflow.com/posts/comments/36436028,"thank you.

rails documentation kind of sucks.",36436028,0,2951835,64,2,2014-05-17 08:45:31,5
http://stackoverflow.com/posts/comments/36435845,"@sahimgiray if the solution worked, please accept the solution.",36435845,0,688450,191,2,2014-05-17 08:33:03,5
http://stackoverflow.com/posts/comments/36435800,Don't forget to accept an answer if it helped you.,36435800,0,2622959,1992,1,2014-05-17 08:28:58,5
http://stackoverflow.com/posts/comments/36435781,"If it helped, please don't forget to accept and upvote my answer... ;)",36435781,0,2649012,9360,2,2014-05-17 08:27:25,5
http://stackoverflow.com/posts/comments/36435743,YES!! thank you Gayan.,36435743,0,3636047,8,2,2014-05-17 08:24:06,5
http://stackoverflow.com/posts/comments/36435611,"Okay no problem. Please accept the answer if it helped you, or its the solution :)",36435611,0,2373114,340,2,2014-05-17 08:13:34,5
http://stackoverflow.com/posts/comments/36435583,"N'awww, thank you. ^^ I think we figured it out.",36435583,0,2994429,43,2,2014-05-17 08:11:45,5
