Comment Link,text,id,CommentScore,userid,reputation,posttypeid,creationdate,Flag Type
"36453617","sorry should have said symbol kwh, hours, gallons","36453617","0","3627106","1","1","2014-05-18 04:22:35","1"
"36453614","Can you give an example of implementing the 2nd option?","36453614","0","1084875","1110","2","2014-05-18 04:22:04","1"
"36453611","reedited it, that's all that he said.","36453611","0","3395013","53","1","2014-05-18 04:21:50","1"
"36453610","@IsuruHerath If you found it yourself, then post a new answer and accept it.","36453610","0","2197700","2604","2","2014-05-18 04:21:43","1"
"36453594","make a demo on jsfiddle","36453594","0","1922144","765","1","2014-05-18 04:18:44","1"
"36453593","We don't do code reviews here. You should be asking questions.","36453593","0","272031","9262","1","2014-05-18 04:18:34","1"
"36453591","kindly check ma comment above","36453591","0","526438","117","2","2014-05-18 04:18:22","1"
"36453582","Perfect!Thanks a lot!","36453582","0","3648129","1","2","2014-05-18 04:17:50","1"
"36453570","I feel this answer is a bit outdated, since atom is now fully open source.","36453570","0","2016708","358","2","2014-05-18 04:17:00","1"
"36453562","This code works fine apart from the missing `</template>`.","36453562","0","635981","11801","1","2014-05-18 04:15:59","1"
"36453557","I was able to fix the jumping by removing the min-height attribute on the divs that actually slide.","36453557","0","3620044","1","2","2014-05-18 04:15:41","1"
"36453556","hi @GAEfan, thanks for the quick response. What are the benefits of using GCS instead of blobstore.","36453556","0","1721801","1","2","2014-05-18 04:15:25","1"
"36453551","So when you put ""50"" in the UserInput, Kwh field, ""50"" shows up in the Totals, Kwh field?","36453551","0","3627106","1","1","2014-05-18 04:14:07","1"
"36453547","Except it does, if it's a WritableBitmap.","36453547","0","136829","23691","2","2014-05-18 04:13:49","1"
"36453545","Found the error guys, rofl I had made a silly mistake I was not specifying each query function","36453545","0","3643191","1","1","2014-05-18 04:13:47","1"
"36453543","It can be done, see my answer.","36453543","0","19405","9872","2","2014-05-18 04:13:25","1"
"36453542","Maybe using `pdb` or `ipdb` debugger would be useful to trace down where `nan` is comming from.","36453542","0","1078084","6780","1","2014-05-18 04:13:08","1"
"36453541","Ok. Tried it, but it still enlarges in the 4inch screen. The 3.5inch works though.","36453541","0","1892483","22","2","2014-05-18 04:13:04","1"
"36453539","Time to do some learning. learn to pass a JSON object via ajax post to a controller as a model.","36453539","0","511438","8077","1","2014-05-18 04:12:59","1"
"36453537","Specifically, check the log file this is writing to for specifics of the failure.","36453537","0","2866080","101","1","2014-05-18 04:12:30","1"
"36453534","Now to get the list to actually show up...","36453534","0","2226408","18","2","2014-05-18 04:12:23","1"
"36453530","This was the issue. Thank you.","36453530","0","2226408","18","2","2014-05-18 04:11:37","1"
"36453522","This was it. Thank you!","36453522","0","2226408","18","2","2014-05-18 04:10:58","1"
"36453511","Eat the blue pill!","36453511","0","945226","1802","1","2014-05-18 04:09:43","1"
"36453507","Focus() returns bool value and can assign bool to AcceptButton.","36453507","0","2304321","198","1","2014-05-18 04:09:17","1"
"36453494","No problem.  Glad I Could help!","36453494","0","3504797","181","2","2014-05-18 04:08:15","1"
"36453490","""Layout"" is not the same as ""layout""","36453490","0","1440565","12601","1","2014-05-18 04:07:56","1"
"36453471","that did the trick, thanks!","36453471","0","1390754","62","2","2014-05-18 04:06:00","1"
"36453470","@jilhoward. I am trying to find a set of parameters which maximize f1 for a given x.","36453470","0","2034698","431","1","2014-05-18 04:05:45","1"
"36453465","This would not work for string like ""Hi someone@company"" as it would still replace it.","36453465","0","489311","660","2","2014-05-18 04:04:52","1"
"36453464","@Justin, Not yet, but here is my test string `""@tim @tim @tim, @@tim, t@mmy?""`","36453464","0","926143","5613","2","2014-05-18 04:04:35","1"
"36453453","Where are the properties of the names defined you tried and failed to get? Show it to us.","36453453","0","2819245","1750","1","2014-05-18 04:03:00","1"
"36453444","ok thanx for help.. :)","36453444","0","3386734","90","1","2014-05-18 04:01:23","1"
"36453434","Use [templates](http://knockoutjs.com/documentation/template-binding.html).","36453434","0","390278","39296","1","2014-05-18 04:00:07","1"
"36453424","someone was butt hurt and did it with all the other answers as well","36453424","0","1319799","1671","2","2014-05-18 03:58:45","1"
"36453415","Would this help: `TextBox txt = (TextBox)panel1.FindControl(""txt"").Text;`","36453415","0","1881309","519","1","2014-05-18 03:58:12","1"
"36453414","Because `stdio` isn't buffered when the output is a terminal.","36453414","0","207421","105906","2","2014-05-18 03:58:11","1"
"36453404","Which line of your code threw the exception you mentioned?","36453404","0","2819245","1750","1","2014-05-18 03:57:11","1"
"36453398","i am new to the raw image concept and how it works..","36453398","0","3365783","35","2","2014-05-18 03:56:29","1"
"36453395","Could you please post the `xml file` for the list itm?","36453395","0","2868352","1883","1","2014-05-18 03:56:14","1"
"36453389","This link might helps u. http://forums.asp.net/t/1887542.aspx?show+hide+div+with+css3+transition","36453389","0","1111052","1231","1","2014-05-18 03:55:28","1"
"36453388","how do i extract RGBA values from the raw image first?","36453388","0","3365783","35","2","2014-05-18 03:55:15","1"
"36453387","Stackoverflow is a Q&A site, so please edit your post to make it clear what your question is.","36453387","0","1890833","948","1","2014-05-18 03:55:08","1"
"36453385","Pretty sure the question is about Ubuntu package updates, not source code diffs.","36453385","0","19405","9872","2","2014-05-18 03:54:54","1"
"36453377","what about http://angular-ui.github.io/bootstrap/#/modal","36453377","0","1704724","2268","1","2014-05-18 03:54:16","1"
"36453375","Good.. Glad that issue is solved... Keep going","36453375","0","2905249","409","2","2014-05-18 03:54:13","1"
"36453369","Dear sir, i am using fiddler. kindly tell me what information should i find from fiddler.","36453369","0","3648349","1","1","2014-05-18 03:53:40","1"
"36453366","Could you clarify ""doesn't work""?  Does it give errors?  Where is the error occurring?","36453366","0","182895","7616","1","2014-05-18 03:53:01","1"
"36453361","@Majenko, see edit.","36453361","0","131872","125888","2","2014-05-18 03:52:19","1"
"36453354","@Squonk  Is it some other way to cater it other than IMEI what are the basis of Whatsapp","36453354","0","3623456","5","1","2014-05-18 03:51:45","1"
"36453350","We also do not have the packages installed for an xserver.","36453350","0","2879327","2305","2","2014-05-18 03:51:26","1"
"36453345","You can just delete all cache from safari and then it should behave fine.","36453345","0","548225","150623","2","2014-05-18 03:50:49","1"
"36453337","As much fun as trying to do this in one line is, we're mostly throwing readability to the wind...","36453337","0","2624511","18720","1","2014-05-18 03:50:09","1"
"36453332","You're most welcome.","36453332","0","548225","150623","2","2014-05-18 03:49:10","1"
"36453326","looks like a driver problem","36453326","0","16076","165000","1","2014-05-18 03:48:04","1"
"36453311","finally, got it right, i forgot to place ""/"" at the end of url","36453311","0","2575626","61","1","2014-05-18 03:46:52","1"
"36453309","I would start by reading your book. Any c++ book will have at least 1 chapter on this.","36453309","0","487892","1856","1","2014-05-18 03:46:36","1"
"36453308","add more info in original Question","36453308","0","1012292","1","2","2014-05-18 03:46:25","1"
"36453305","Show us the actual, complete error message, with stack trace and everything.","36453305","0","2357112","30275","1","2014-05-18 03:45:48","1"
"36453297","try it out, it will return false","36453297","0","2575626","61","2","2014-05-18 03:45:06","1"
"36453292","Yep, an array with objects indexed by (objects.hash % len)","36453292","0","2474940","1","2","2014-05-18 03:44:44","1"
"36453287","Check my edit please","36453287","0","1881309","519","2","2014-05-18 03:44:30","1"
"36453281","mssql syntax error near ''","36453281","0","1336057","81","2","2014-05-18 03:43:45","1"
"36453279","I updated the example with a toggle function: http://jsfiddle.net/Cp6mx/1/","36453279","0","3268391","174","2","2014-05-18 03:43:37","1"
"36453275","@Aacini : Please elucidate. What problem does the `set/p` construct cure?","36453275","0","2128947","17588","2","2014-05-18 03:43:22","1"
"36453268","@MarcinJuraszek Yeah, seems like they are a bit too opinionated for SO.","36453268","0","6819","54459","1","2014-05-18 03:42:36","1"
"36453257","You can simply say `while (open.hasNext())` instead of `while (open.hasNext() == true)`","36453257","0","567435","9782","1","2014-05-18 03:41:06","1"
"36453248","Interesting, how is it then that in the actual command prompt, it is continuously printing?","36453248","0","1920325","67","2","2014-05-18 03:40:09","1"
"36453245","Have you thought about using Embers query params for this?","36453245","0","2238268","1411","1","2014-05-18 03:39:44","1"
"36453240","Yes. It shapes the button as mentioned in the 2nd piece of code","36453240","0","3166830","24","1","2014-05-18 03:39:25","1"
"36453238","Search for ""remote objects"" in java and/or android.","36453238","0","1666116","7967","1","2014-05-18 03:39:05","1"
"36453234","@user2357112 If this is the only thing you want to do with the mac address, just create a function.","36453234","0","3503502","647","2","2014-05-18 03:38:41","1"
"36453233","@BarryHamilton, `rejected it` is not much clear. what error did you get exactly?","36453233","0","567435","9782","2","2014-05-18 03:38:37","1"
"36453232","how to tell browser to cache it as new URL? Thanks.","36453232","0","2031233","62","1","2014-05-18 03:38:34","1"
"36453228","This is great, slightly jumpy on roll out, is there a way i can set it to toggle it back closed?","36453228","0","3620044","1","2","2014-05-18 03:38:19","1"
"36453225","@liya did you get `System.out.println(person.Name);`","36453225","0","1306004","64","1","2014-05-18 03:37:59","1"
"36453218","I tried just executing your code verbatim but mssql server rejected it.","36453218","0","1336057","81","2","2014-05-18 03:37:18","1"
"36453215","anyways i have updated the question see if you find any error on my controller","36453215","0","3386734","90","1","2014-05-18 03:37:02","1"
"36453209","i guess the same. reload should happen there may be an error in the way i used my object.","36453209","0","3386734","90","1","2014-05-18 03:36:10","1"
"36453208","Doesn't work, it's probably incomplete.","36453208","0","383839","347","2","2014-05-18 03:36:05","1"
"36453207","@SethMMorton: [Dependency hell](http://en.wikipedia.org/wiki/Dependency_hell), for one thing.","36453207","0","2357112","30275","2","2014-05-18 03:36:03","1"
"36453202","It's giving me segfault errors :(","36453202","0","3001179","23","2","2014-05-18 03:35:39","1"
"36453198","Well do you know the solution? I had a similar situation and it worked for me.","36453198","0","1163428","617","2","2014-05-18 03:35:07","1"
"36453197","Okay Its a better idea I think so to study Fragments :)","36453197","0","3623456","5","2","2014-05-18 03:35:04","1"
"36453195","You can just call finish() straight after startActivity() if you want, which would close it.","36453195","0","2780943","409","2","2014-05-18 03:34:54","1"
"36453192","interesting question, think you may need to share more information or code","36453192","0","1376499","740","1","2014-05-18 03:34:12","1"
"36453191","No worries - I hope it helps. :)","36453191","0","2461430","181","2","2014-05-18 03:34:04","1"
"36453186","@user2357112 What's wrong with a third party library?","36453186","0","1399279","4252","2","2014-05-18 03:33:25","1"
"36453184","You don't need $project on this","36453184","0","996926","339","2","2014-05-18 03:33:17","1"
"36453183","@AlexeiLevenkov,:), Yes you right.","36453183","0","440030","2714","2","2014-05-18 03:33:16","1"
"36453182","Is it a website?","36453182","0","1881309","519","1","2014-05-18 03:33:12","1"
"36453179","@alecxe Yes, you're right. More efficient as a generator.","36453179","0","3503502","647","2","2014-05-18 03:32:57","1"
"36453177","Related: http://stackoverflow.com/q/23594030/2446155","36453177","0","2446155","1841","1","2014-05-18 03:32:34","1"
"36453170","I am trying to implement the expectation maximisation algorithm","36453170","0","1657827","337","1","2014-05-18 03:32:02","1"
"36453168","Start by doing some C++ tutorials online. There is an abundance of them.","36453168","0","141203","2543","1","2014-05-18 03:31:57","1"
"36453166","Yes, this is what I was searching for a long time. Thanks man, You solved my problem.","36453166","0","3624875","35","2","2014-05-18 03:31:52","1"
"36453162","Upvoting very useful answer to common `\W` problem.","36453162","0","1078583","3524","2","2014-05-18 03:31:25","1"
"36453161","Just to clarify: what do you want if the result is an exact value (no decimal)?","36453161","0","3043","186770","1","2014-05-18 03:31:13","1"
"36453159","@7stud, do you have a better solution for this problem?","36453159","0","2456549","928","2","2014-05-18 03:31:09","1"
"36453157","As for me, your example works as expected.","36453157","0","1143825","11472","1","2014-05-18 03:31:02","1"
"36453155","You are already getting the value by `txtBox.Text` right? can you elaborate?","36453155","0","1881309","519","1","2014-05-18 03:30:41","1"
"36453154","@user2357112 mm, not that I'm aware of.","36453154","0","771848","42314","2","2014-05-18 03:30:38","1"
"36453149","aw sorry that was a copypaste error while pasting here :p","36453149","0","2770552","118","1","2014-05-18 03:30:14","1"
"36453135","Never mind, I was able to get it working with UIViewContentModeTop. Thanks.","36453135","0","1191313","50","2","2014-05-18 03:28:51","1"
"36453130","Is there a standard library solution with a similarly convenient interface?","36453130","0","2357112","30275","2","2014-05-18 03:28:08","1"
"36453125","Doesn't rotate AROUND the point but just sets that point as the center of rotation","36453125","0","1477226","127","2","2014-05-18 03:27:30","1"
"36453117","@Schollii: Yes, its gideros.","36453117","0","2699001","391","1","2014-05-18 03:26:18","1"
"36453118","it will return false.","36453118","0","766165","136","2","2014-05-18 03:26:18","1"
"36453116","Does the `HeartButton` overrides paint method and does custom painting?","36453116","0","2530848","21689","1","2014-05-18 03:26:12","1"
"36453115","I'm using Python 2.7.3","36453115","0","3647520","6","1","2014-05-18 03:25:39","1"
"36453105","Can you please share some code","36453105","0","3623456","5","2","2014-05-18 03:24:38","1"
"36453102","Oh! Wow, thanks.","36453102","0","3648874","3","2","2014-05-18 03:23:53","1"
"36453101","@user3375390 This code should still work to perform the same logic that you stated.","36453101","0","1029916","5081","2","2014-05-18 03:23:48","1"
"36453098","You are correct","36453098","0","2675681","96","2","2014-05-18 03:23:24","1"
"36453088","@tcaswell: I have reduced the amount of code now. Is it alright?","36453088","0","1657827","337","1","2014-05-18 03:21:59","1"
"36453087","You want result to be string or double?","36453087","0","2530848","21689","1","2014-05-18 03:21:53","1"
"36453085","Perhaps `kwhFieldT.setText(String.valueOf(kwh))` instead of `kwhFieldT = kwh.getText();` ?","36453085","0","794191","495","1","2014-05-18 03:21:36","1"
"36453084","Whoa! Thanks a lot dude! 

I think I get it now :D","36453084","0","3648806","11","2","2014-05-18 03:21:32","1"
"36453083","I compelled to make it in prolog.","36453083","0","3621476","1","1","2014-05-18 03:21:29","1"
"36453079","There has to be a stacktrace if the app crashed","36453079","0","2029566","3928","1","2014-05-18 03:20:53","1"
"36453078","@Evert how would you do this better?","36453078","0","2845359","54","2","2014-05-18 03:20:48","1"
"36453071","@dasblinkenlight here you go.. https://gist.github.com/emmayazzie/","36453071","0","3614977","100","2","2014-05-18 03:19:48","1"
"36453067","Never mind. It worked.","36453067","0","1953533","305","1","2014-05-18 03:19:08","1"
"36453061","i couldn't get this to work: this.model.get('field'). Looks like the model is is created sub object","36453061","0","1210448","138","2","2014-05-18 03:18:39","1"
"36453054","yes, I need only 16 bits wide ! it works like IntToHex( value,4)","36453054","0","3648780","1","1","2014-05-18 03:17:46","1"
"36453053","So, Please explain what's your problem? What do you expect?","36453053","0","3604386","179","1","2014-05-18 03:17:15","1"
"36453050","I added these in the my build.gradle, but the issues still happened.","36453050","0","1920903","1204","2","2014-05-18 03:17:04","1"
"36453049","Have you tried anything or followed any tutorials online that have pointed you in any direction?","36453049","0","1450077","19334","1","2014-05-18 03:16:56","1"
"36453037","I just updated the issue.. hoping for some help.","36453037","0","3375390","14","2","2014-05-18 03:15:09","1"
"36453032","I think in java you can't define object with name return. **ProdEN return;** there should be error.","36453032","0","687021","58","1","2014-05-18 03:14:09","1"
"36453031","This works for me.","36453031","0","1956510","486","2","2014-05-18 03:14:07","1"
"36453029","@TimHoffman I thought maybe you should have a look at this?","36453029","0","2918851","577","1","2014-05-18 03:14:01","1"
"36453028","@user3375390 Edited to reflect the need to check each word within the group.","36453028","0","1029916","5081","2","2014-05-18 03:13:48","1"
"36453025","It works! thanks!","36453025","0","3286558","10","2","2014-05-18 03:13:27","1"
"36453023","@173901 You're welcome. Also notice that I've added more information to my answer.","36453023","0","1947677","8974","2","2014-05-18 03:13:16","1"
"36453020","check my answer...","36453020","0","1319799","1671","1","2014-05-18 03:13:10","1"
"36453016","Totally ashamed, I'll return to my cave and hibernate until next season. Sorry for that.","36453016","0","1906372","140","1","2014-05-18 03:12:38","1"
"36453014","@adimona - You are welcome.","36453014","0","791935","3276","2","2014-05-18 03:12:16","1"
"36453012","Oh, now I see where I had it wrong. Thanks for the insight.","36453012","0","2820614","14","2","2014-05-18 03:11:53","1"
"36453008","Is this question still too broad?","36453008","0","3264311","3","1","2014-05-18 03:11:41","1"
"36453006","Any finite set of numbers obviously can. f(0) = first number, f(1) = second numbert, etc.","36453006","0","1505939","6836","1","2014-05-18 03:11:30","1"
"36453002","The file will remain on the server. It's for the install of server components.","36453002","0","51247","137","1","2014-05-18 03:10:38","1"
"36452996","Okay. Hope that also answered the question you had regarding ""native code"". :)","36452996","0","2819245","1750","2","2014-05-18 03:09:52","1"
"36452993","What is expressing a set of numbers by a function even supposed to mean?","36452993","0","2357112","30275","1","2014-05-18 03:09:47","1"
"36452991","I solved the hierarchy problem using a nssortdescriptor with an enumerator, but it feels weird","36452991","0","967100","2517","1","2014-05-18 03:09:03","1"
"36452988","Yup, migration is a bad idea, cleared out my data when i tried to migrate","36452988","0","1520364","19044","2","2014-05-18 03:08:39","1"
"36452980","Done.  No errors found.  Still works differently from command line and from server.","36452980","0","3648816","1","1","2014-05-18 03:07:42","1"
"36452979","@BoltClock there's no script yet. Just HTML. I'll have to work on some tomorrow [sorry stay tuned]","36452979","0","3182932","4","1","2014-05-18 03:07:40","1"
"36452977","What have you done so far","36452977","0","1239189","3355","1","2014-05-18 03:07:29","1"
"36452973","i have
        NSTimer *timer;
Is that what you want me to change?","36452973","0","3646631","1","2","2014-05-18 03:07:17","1"
"36452961","Nice use of json.","36452961","0","2255089","28383","2","2014-05-18 03:06:09","1"
"36452960","Just confirmed; does exactly what I want. Thanks.","36452960","0","3226218","149","2","2014-05-18 03:06:06","1"
"36452956","Are you getting any compilation errors or runtime exceptions? (Red text). Please post here if so.","36452956","0","1887013","424","1","2014-05-18 03:05:49","1"
"36452945","Any time! we are here to help! If you need more help in designing message me!","36452945","0","1972499","311","2","2014-05-18 03:04:41","1"
"36452941","Ivarpoiss: Thanx for pointing this out!! This is the correct answer for me!","36452941","0","23264","13359","1","2014-05-18 03:04:10","1"
"36452937","so i would have to either parse the kwh input and move that?","36452937","0","3627106","1","1","2014-05-18 03:03:38","1"
"36452935","what are you using ? asp.net ? mvc ? razor ?","36452935","0","2980277","94","1","2014-05-18 03:02:43","1"
"36452934","Very useful, glad to see it in action and hope I'll remember it.","36452934","0","1078583","3524","2","2014-05-18 03:02:40","1"
"36452927","@BrenBarn In English, but not in Python.","36452927","0","3503502","647","1","2014-05-18 03:02:15","1"
"36452919","OP does not have root access and is on a red hat system (uses `yum` not `apt-get`).","36452919","0","380231","19212","2","2014-05-18 03:01:02","1"
"36452918","See above, added more info. The child row still exists, not sure why.","36452918","0","548799","34","2","2014-05-18 03:00:56","1"
"36452914","@MadProgrammer: ah, I should have figured that it was borrowed code!","36452914","0","522444","141876","1","2014-05-18 03:00:28","1"
"36452913","Correct me if I'm wrong. But isn't `kwhFieldT` a `JTextField` and `kwh` a primitive `double`?","36452913","0","1887013","424","1","2014-05-18 03:00:26","1"
"36452909","@zx81: No, I didn't invent it! It is a well know trick (probably from friedl book)","36452909","0","2255089","28383","2","2014-05-18 02:59:53","1"
"36452906","Which variable? How are you producing HTML from the variables? Show us that code.","36452906","0","1048572","88279","1","2014-05-18 02:59:38","1"
"36452905","no it succeeds.","36452905","0","3427042","79","1","2014-05-18 02:59:32","1"
"36452903","you are welcome. added as answer :)","36452903","0","728563","2188","1","2014-05-18 02:59:21","1"
"36452901","Didn't know that CSS transitions fire events to JavaScript, very nice!","36452901","0","741981","3635","2","2014-05-18 02:59:13","1"
"36452886","`bundle exec` is not a ""hackaround"", it's how bundler is supposed to work.","36452886","0","229044","75887","1","2014-05-18 02:57:39","1"
"36452884","Okay.  Next time I get around to working on it I'll post another question.  Thanks for your help!","36452884","0","3054691","13","2","2014-05-18 02:57:22","1"
"36452883","What's the error that it gives when it fails?","36452883","0","2441252","1893","1","2014-05-18 02:57:20","1"
"36452878","Yes. Did I assemble the pattern correctly in `addUri()`?","36452878","0","1887013","424","1","2014-05-18 02:56:54","1"
"36452876","@MattMcNabb I've added a simplified example in the second edit above.","36452876","0","3404298","18","1","2014-05-18 02:56:41","1"
"36452874","That did it, thanks.","36452874","0","188081","2601","2","2014-05-18 02:56:28","1"
"36452868","@soandos Are you still here?","36452868","0","2179987","675","2","2014-05-18 02:55:53","1"
"36452867","Related: http://stackoverflow.com/q/22801511/2446155","36452867","0","2446155","1841","1","2014-05-18 02:55:52","1"
"36452865","Ah, I see, that's the problem - you're expecting it to match. My mistake.","36452865","0","6310","3408","1","2014-05-18 02:55:48","1"
"36452864","Try using something like `-std=gnu99` instead of c99.","36452864","0","152948","67755","1","2014-05-18 02:55:37","1"
"36452861","Awww man... Move it to `mysite/templates/polls/index.html`
Please read answers properly next time","36452861","0","3291969","300","2","2014-05-18 02:55:28","1"
"36452859","OSX Mavericks and echo $SHELL - **/bin/bash**","36452859","0","3574964","17","1","2014-05-18 02:55:15","1"
"36452851","Related: http://stackoverflow.com/q/13683992/2446155","36452851","0","2446155","1841","1","2014-05-18 02:54:10","1"
"36452849","I doubt you'll get a useful answer unless you can provide a reproducible example","36452849","0","16632","32584","1","2014-05-18 02:54:05","1"
"36452846","Very nice discussion.","36452846","0","341994","51692","2","2014-05-18 02:53:55","1"
"36452844","The matcher is returning ""minus one"", not ""one""?","36452844","0","6310","3408","1","2014-05-18 02:53:46","1"
